日期,代码,名称,当前价,涨幅(%),建议止损价,FVG,换手率(%),市盈率(动),总市值(亿),流通市值(亿),年涨幅(%)
2025-12-25,603385,惠达卫浴,7.05,1.29,6.59,bull,1.31,132.07,26.84,26.84,12.8
2025-12-25,603406,天富龙,40.2,0.05,38.93,bull,2.52,37.19,160.8,14.29,74.03
2025-12-25,603409,汇通控股,37.5,1.08,35.39,bull,7.76,30.24,47.26,11.82,58.36
2025-12-25,603396,金辰股份,33.84,1.5,30.18,bull,4.7,69.6,46.88,46.88,26.5
2025-12-25,603500,祥和实业,12.05,2.12,11.3,bull,1.62,27.41,40.1,39.99,59.18
2025-12-25,603507,振江股份,24.91,1.01,23.41,bull,2.52,79.11,45.91,45.28,4.93
2025-12-25,603506,南都物业,13.18,-1.64,12.18,bull,4.09,12.02,24.75,24.75,54.88
2025-12-25,603599,广信股份,11.61,1.57,11.02,bull,0.81,15.23,105.68,105.68,-1.44
2025-12-19,603608,天创时尚,8.33,10.04,7.14,bull,0.0,-501.78,34.96,34.96,123.92
2025-12-25,603610,麒盛科技,20.07,-1.33,18.47,bull,1.91,36.15,70.85,70.85,60.43
